reviewerID,asin,reviewerName,helpful,customer_review,customer_rating,customer_review_summary,unixReviewTime,reviewTime
AX11NOUMV8G95,B000VTPR08,Maria A,"[0, 0]","This arrived a week sooner then expected!  I am very happy with this bag, my Fender LH San Miguel Acoustic guitar fits perfectly!  It is nicely padded and has lots of pockets for anything you might need to carry.",1.0,Perfect fit!,1361318400,"02 20, 2013"
A136IQFGB01KQB,B0002KZE7C,Stinky K.,"[0, 0]",I can't believe these were actually sent to me. The heads are smaller than normal pickguard screws and the metal is blackened. They come from Taiwan but look like they were subcontracted to China. I am sending them back. There is no way I would use these. Any screw you get from Home Depot would work better and look more attractive. I am seeing nothing but product after product like this coming from Fender and it is a clear sign they are simply trying to maximize profits at any cost.,0.0,The Slide Continues,1389398400,"01 11, 2014"
A29XLZLRNBWBZ8,B00A716FB0,M. Pope,"[0, 0]","Returned this item because the zipper was already broken when I received it. Not durable! Spend a few more dollars, it is worth it.",0.0,Cheap Zippers,1393718400,"03 2, 2014"
A3KBFCPNQ58YK4,B0002CZV82,Sam,"[1, 4]","Here's the deal with this pedal. It is inexpensive and you can get a better pedal with barely a bit more money and sometimes a little less money. In my opinion, for spending less than $100 for a distortion pedal, whether it is your first pedal or 700th pedal, a few more bucks will get you the MXR Badass distortion which has a much crisper tone to it.",0.0,Beginners Beware,1392940800,"02 21, 2014"
ALEFGB3G2BYG8,B000VJJQUU,"A. perez ""mr right""","[0, 2]","the cables are great for the price cant go wrong I have not used them for a long time but so far no problems i ordered 6 more cables.don't buy this cables they keep failing, cheap material with WHAT I SPENT ON THEM YOU COULD BUY A COUPLE DECENT ONES",0.0,best deal cheap cables,1312416000,"08 4, 2011"
A1NGFLLBENI6FG,B0007ORM0K,"Debra Merrill Mccullar ""peace""","[1, 1]","Put a set of these on my Rogue Grand Concert, now the guitar stays in tune beautifully! Worth every penny!",1.0,Fantastic Tuners!,1353542400,"11 22, 2012"
A2M93TVNC93C3P,B0018TIADQ,L. Ole'son,"[0, 0]",Works great as a stand for the Elec.Guitar. Work good in corners. And I like it For starting out learning.,1.0,Work good..,1383350400,"11 2, 2013"
A12ABV9NU02O29,B0002F4VBM,C. Longo,"[1, 1]","I've had this pedal for about five years.  I own a bunch of other overdrive pedals, including the Boss SD-1, TS-9, a Klon clone, and a bunch of DIY pedals.  The Bad Monkey is cool for a couple of reasons.  First is the bass and treble controls.  Most overdrive pedals only have one tone control, the Bad Monkey lets you sculpt both the highs and lows.  Second is the mixer out.  Not everyone will appreciate this feature but it allows you to jack the pedal into a mixer or audio interface with a ""speaker sim"".The gain sound is ok, but what I do is use it as a boost by diming the output and turning the gain all the way down which slams my tube amp giving me a natural tube overdrive.  This pedal will work best with a tube amp but some people may dig the gain tone on a solid state.It's built like a tank.  Can't go wrong for the price, IMO.",1.0,Bad As Monkey,1350691200,"10 20, 2012"
A3NAA6BH9LWIH4,B0050CEEIW,Paul Kacprzak,"[0, 0]",The HDE xlr to usb is ubs. I have the same problem the red blinking syndrome. I learneda long time ago dont try to fixsomething you paid for send it back. So I did Thanks Hde for wasting my time. Go sell your snake oil to someone else.....I,0.0,I HATE IT......,1368576000,"05 15, 2013"
A396ELNTQDFYPO,B000KGYAYQ,Mark King,"[0, 0]","These are amazing little inexpensive mixers. If you need to sum together some signals this can get the job done.We have two of these in our vocal effects rack summing our effects from six feeds (three per mixer) down to two outputs (one per mixer), the mixers feed direct boxes which go back to the front of house console, this lets us have the effects on stage so the performers can control them and send the signal back to the console for adding into the main mix. We have no noise problems at all with these mixers and they really solved a problem for me, I needed tiny flexible mixers I could preset and fit inside the rack out of the way, not only were these extremely inexpensive they work great.Good luck and good music to all",1.0,Handy mixer and ultra affordable problem solver,1383782400,"11 7, 2013"
A1UI4WTBYHYUGD,B001PGXHX0,Aaron haszard,"[0, 4]",They have no grip at all they brake and ware out in a hour or so of hard playing there just junk for newbie that don`t know any beter but hey what do you expect they are made by D Addario get some real picks like Dunlop Tortex,0.0,junk,1370217600,"06 3, 2013"
A20TFY5J3WNJU2,B0002KZEMC,crazy finger magic,"[0, 0]",This pickguard was used. It not only was missing the protective plastic but it actually was scratched from being on a guitar before.,0.0,I payed for a new pickguard but got a used one.,1399680000,"05 10, 2014"
A20TFY5J3WNJU2,B0002KZEAE,crazy finger magic,"[0, 0]",Perfect for my guitars. Sounds great for my telecaster and my Stratocaster guitars. Capacitor are a nice generalized  choice. Excellent choice.,1.0,Sound great,1402444800,"06 11, 2014"
ALHC64J88LVWO,B000068O4H,Wayfinder,"[0, 0]","For the price, can't beat it.  Works as well as any $15 - $20 one I would have bought at local guitar stores.",1.0,Can't beat it,1383436800,"11 3, 2013"
A3HKZSCGFU9T2A,B004FPEF84,Teagan Mago,"[1, 1]","I honestly don't see the purpose.  It doesn't seem to have improved my experience with my strings on my guitar.  I've used it a few times, but don't see the benefit.Edit 5/30/13:After coming back to read the other reviews, it's obvious what happened:  This was shipped to me completely dry.  There was no grease/lubricant qualities.  It was like a dry erase pad.  They need to improve their quality control.  I'm changing my rating from 3 star to 1 star.  They HAVE to find a way to fully secure this gap or maybe consider enhanced vacuum sealing packaging.I would suggest if you receive this product and it hasn't dried out yet, to place this product in a air-tight ziplock bag to reduce the likelihood of this drying out.",0.0,It seems pretty unnecessary,1361923200,"02 27, 2013"
A1DVUFG2QSJ6IK,B005T800V2,"grandpa ""Randy""","[0, 0]","Good deal on this package of patch cords. They work just as well as the more expensive ones I have used. I like the length too. It is long enough to make a loop in, which make everything easier to work with.",1.0,Patch cords,1373932800,"07 16, 2013"
A5O3ZBCOLILKQ,B0037M62M8,Roger M. Bates,"[0, 1]",The material used is fine.  The looks are fine.  The length is horrible.  This is too short for most adults that play guitar.  It felt like I was holding my guitar around my neck instead of off my shoulders.  I attached it by the longest way possible and it was well short of what I could use.  To me this was a worthless purchase.  I just tucked it into a drawer and it will sit there and not be used again.,0.0,Not for me!,1371686400,"06 20, 2013"
A3MTR7P9PYAALX,B0002E1O7M,Craig Richard Gillette,"[0, 0]","These strings sound great, play great, and the coating really does keep down the squeaking. Some purists don't like the coating movement when it comes to strings, and it does take a micron off the treble, but they last a loooong time. I usually only have to change my strings once a month. I use them on my Washburn acoustic guitar, and play rock, folk, and country strumming. They rock, and I feel they are the best strings around today, period.  These strings are very small, and are great for playing for long periods of time, without brutalizing the fingertips. Some people say the real light strings are not good for recording, and you probably have less of a bass boom, but I like 'em.",1.0,Best strings on the planet,1347926400,"09 18, 2012"
A21V6HGU6SU4JG,B000KIPD5E,The Den,"[2, 2]","This pedal, in short, sucks.  There's no point to having an A/B pedal if it adds a huge amount of hiss to your sound. Behringer needs to go back to the drawing board with this.",0.0,Hiiiiiiisssssssssssssssssss,1397001600,"04 9, 2014"
AD5G39PJUJVJ,B0002CZW0Y,"James E. Sink ""Jimsi777""","[0, 0]","wind screen is way too big its bulky and to me useless, the screen came out, was thinking of glueing it back in but went to ebay and bought 2 metal mesh pop filters cheaper that is MUCH better...avoid this!!",0.0,Yuck,1368057600,"05 9, 2013"
A37WW789WSY81F,B007PKR3SK,Orcatrino,"[4, 7]","This product has an extremely flimsy spring mechanism inside.  Upon receiving mine and assembling it, it broke immediately while I was trying to mount an iPad onto it.  It also has a fairly narrow angle of adjustability.  The metal parts of it seemed sturdy enough but the plastic parts looked and felt brittle.",0.0,ChargerCity Microphone Stand Tablet Mount,1342569600,"07 18, 2012"
AXMYGK3WC8BPP,B0002H02IG,"C. Forbes ""Just a guy with an open mind""","[0, 0]","I bought this to replace a cord I was using to practice my guitar. My first cheap cord wasn't actually broken, but I didn't want any down time, so I had this just sitting there as a replacement. Fast forward some time, and I just wanted to try it out. Even though my cheap cord was still working fine, I really wanted to just try out the new cord.I really wish I had done that in the first 30 days. This cord did not work right at all. It seems like there is a short in it somewhere. I had to unplug/plug/ maneuver into place. Of course since it is for guitar, it falls almost immediately out of place again. So, I am back to the cheap cord that hasn't failed, unlike this brand new bad cable.",0.0,Broke almost immediately?!,1402617600,"06 13, 2014"
A12DQZKRKTNF5E,B0002M3OVI,Andrea Polk,"[0, 0]","Solid construction and well weighted, this stand is perfect for desktop use with height adjustments from 8.5"" to 13"" and a 6"" base; per the measurements given on the box.  The locking die-cast steel clutch works well to keep the fit secure.  The color is darker than pictured on Amazon - black powder coating.  There's no tipping or imbalance to worry about with this mic stand, and it's reasonably priced. (* I picked mine up for under ten in the Amazon Warehouse.  It didn't ship with any directions for set-up, which may or may not be the standard packaging.)Do take note that this stand has a US standard 5/8"" top.  I needed a 5/8"" female to 3/8"" male adapter to get my mic to mount to this stand. There are a few on Amazon, but I found the best deal at another retailer online.  These are the adapters that I'm talking about:Windtech Adapter 5/8"" Female Standard Microphone to 3/8"" Male.  You may not need one if your microphone mount ships with one installed, which can be easily screwed out to then expose the 5/8"" space.Overall, I'm very pleased with the fit, finish and construction of this item, and I'm sure it will work very well for my uses. I recommend it to others looking for a stable, sturdy, adjustable desktop microphone stand.",1.0,"Stable base and adjustable, just what I wanted",1388707200,"01 3, 2014"
A768OB1LNE356,B004Z8VQ2O,"Kevin ""k""","[2, 5]","Can't believe they are still selling these things at full price with the old 30 pin connector.  I have lots of pads but none still have the old style connector.  This is now a boat anchor.  To buy a 3 meter cable from them, they charge $40 for the cable, $15 to ship it and then tax.  The extortion here is almost Monster cable like.  These folks should be embarassed.",0.0,"Old 30 pin connector makes this thing worthless, $54 to get one",1383782400,"11 7, 2013"
A14PY68SX7D5DV,B003VWJ2K8,Leonardo Lee,"[0, 0]","I bought this one after using the SN-2 for 5 months.The tuner works like a Champ!I can't really tell the difference between the SN1 and the SN2. They both work really well with my Taylor guitar, and my Fender Strat.",1.0,It's a steal. Buy IT!,1335916800,"05 2, 2012"
A2CJVLER896Q7L,B004ZKIHVU,Diego A. Umana,"[0, 0]","This is simply one of the best velcro tapes out there. It is very well made and resistant to hold every pedal imagined. I would recommend to get a few roles of power-grip pedalboard velcro as it definetely holds your pedals much better than the 'industrial' velcros included in most pedal boards and a one-meter roll (around 3 feet) wont last long, especially if you have a combination of both regular size (MXR or Boss) and bigger pedals like a Cry Baby Wah or a VOX Satchurator or Time-Machine Reverb or similar. You probably have a few thousand dollars invested in great pedals, even rare ones, so this would be great for you to keep them well-attached to your board and properly organized. Maybe the tape could be made a bit wider, perhaps 1/2 an inch more would be great. It would actually increase a bit the sticking surface. Still a great product/concept. A must buy!",1.0,Best velcro out there!,1352332800,"11 8, 2012"
A3FBE4WF5KQRR1,B0002H0SKS,jamie,"[0, 1]","I thought something was drastically wrong with my guitar but it was these strings, they buzzed and move so much they hit every metal on every fret.",0.0,Junk,1395705600,"03 25, 2014"
A3CNFMV0IISC3C,B004FEGXDK,Brian F.,"[2, 17]","A dull, inept version of a TubeScreamer. Just sounds flat and boring. Not very inspiring. At all. (Then again, I never did really like TS's).......",0.0,Dull,1352332800,"11 8, 2012"
A1RXH9W4TZB2EF,B0002GLDQM,D. Bellino,"[0, 0]","I use Clayton 1.26mm picks, a heavy pick but certainly not oversized. My picks don't fit!!! If I shove them in, I can't get them out. Also, this thing is huge for the back of the neck.",0.0,"Sorry, but...",1400716800,"05 22, 2014"
A2Z3IXZ17E88J4,B001GD07SK,"James Tepper ""&#34;Are we there yet&#34;""","[1, 2]","I bought one of these for a vintage Fender Showman that doesn't have built in reverb.  Put a battery in and plugged it in.  Very simple.  But the sound was horrible!  No setting delivered an effect that sounded anything like any kind of reverb I ever heard or would want to hear.  The closest I could get was a cheesy delay or echo effect that sounded awful.  On the other hand, the reverb from my Korg AX-100G (that I was using on another rig) was great.  Maybe my DR600 was not functioning properly, but I don't think so.  I think that's the way it really sounds.  So I got a return authorization from Amazon (very easy - never fails), put it back in the box and UPS picked it up the next day and I got a full refund.JM Tepper",0.0,Sounds awful - you get what you pay for,1361232000,"02 19, 2013"
A1FCX548TD6DLP,B003QTM9O2,Cooper the Beagle,"[0, 0]","At the time I bought, was $16.  Mine arrived broken, so it had gone back.  Reality is that it is not that good regardless of mine being broken.  Not upset about that - stuff happens.  It is just not a good stand.  Light construcion, unstable (topples easily) and a likely candidate to be broken if dropped.  The 'protective' materails on the stand to keep product from scratching your instrument are the soft, shiny runner like materail and it 'sticks' to my instrument's neck.  So I pick up uke and I get a stand until the stickiness is seprated by gravity.  Happened every time.  Yes, I tried out the stand even though broken, and it proved to be a bad choice.  Back it has gone.  5 stars to Amazon's return policy, thouh!",0.0,"Poorly Made, Flimsy.  Buy Another Product",1389225600,"01 9, 2014"
A2LJ6YNOZU6ND,B0002GMGYA,jimmy three,"[0, 0]","I got a couple of these....only buy this cable if there is NO CHANCE that it will be ever used in the real world....after only a month mine has developed a nasty short in the plug....and of course , since this cord is molded/sealed up tight , it can't be repaired.......you could cut off the plug and solder a good 1/4 inch plug on it...but why bother.?....just save your headaches and money and buy a good heavy duty cord....this cord is too flimsy......its junk with a fancy molded plastic ergonomic looking plug  housing...but inside its junk....thrown away money.!!!.......buy a lottery scratch off instead,,,",0.0,avoid avoid..,1383696000,"11 6, 2013"
A36OSNJ4YJSGEP,B0002E37MM,djinx,"[0, 0]",Only Lasted 2yr.  I have a lot of cheaper cables that get more use/abuse than this one that have outlasted it.,0.0,Very Disappointed!!!,1295654400,"01 22, 2011"
A2053ZJUGCKUA5,B0087UPSLQ,LARRY,"[0, 0]","UPDATE: received 6 of these. 5 are ok but one has a bad weld joint at the top retainer. It was held by only one small tac weld.I got what i paid for. cheap price and cheap product. no excuse to make this kind of low quality guitar stand, putting a $500 guitar on this is asking for guitar damage when the stand falls apart. not worth the time & $ to send it back to amazon. One star only for this product. Good chance that you will get a crappy one if you order this. Less than one star for this piece of ......",0.0,"LIGHTWEIGHT,ATTRACTIVE, INEXPENSIVE",1366243200,"04 18, 2013"
A2C6Z7M3RMUG45,B0002GMGYA,"Wes Caldwell ""Wes Caldwell""","[0, 0]","This same chord was almost 30 bucks in a regular store it just had a different name on it, sounds great and you won't trip all over the place while rocking out, so get one today.",1.0,great chord great price,1366502400,"04 21, 2013"
A342XAA3YXGKT9,B000B6DHAS,"J. Rowland ""JasonNYC""","[0, 0]","If you are getting this amp only for portable practice and just want to hear what you are playing and do not care if it sounds great then you will be happy with this little amp.  It sounds surprisingly good for twenty bucks. I said good, not loud.  Loud enough, yes. I suggest buying a power brick so you can plug it in for daily home use because the batteries only last for about five hours of playing time.  This is a great little amp for camping, a quick lesson, or going to a friends house for a little jamming etc.. If you keep your expectations reasonable you will be pleased.  Great color and retro style as well.",1.0,Hard to beat for the price,1367193600,"04 29, 2013"
AVP5CCREISHVX,B004U1QDL0,Raul Diaz Pea,"[3, 4]",This product is bad quality because the noise it makes. It increases the volume so much that it is better not to use it at all. I'm going to sell this product. I didn't like it.,0.0,A lot a noise when using rate different from 50%,1394323200,"03 9, 2014"
A1O3P80RRDUV5P,B0002E2KPC,M. Henry,"[0, 0]","This is an update to my original review because I have now fully tested two of these capos.  I'm truly surprised by all the good reviews here.  I'm not sure how it's possible.  I've already outlined below in my original review that these are not Jim Dunlop capos.  I had purchased two, which I have now given away to student players as I cannot use them.  I tested the capos on a standard acoustic and also an electric guitar.  The E string buzzes when the capo is applied and no amount of adjusting the capo would stop the buzz from occurring. Both capos had this very same problem.When I received these capos, I noticed right away that they were not the same excellent quality as actual Jim Dunlop capos.  The craftsmanship was visibly lower quality and the materials used are a lesser quality than official Jim Dunlop capos.  The rubber has a strong odor and there is no brand-name printed anywhere on the product.  As a professional musician, I need to purchase reputable brand-name products because I can't afford to have my gear failing during performances.  I have no idea about the future performance of these capos because they have no apparent brand, and no measurable reputation.  When I contacted the seller, they were not honest with me.",0.0,These Capos are not made by the Jim Dunlop company,1397606400,"04 16, 2014"
A3IVULXGE2PB43,B0002CZUUG,Jeffro,"[3, 4]","Epiphone LP Special II Les Paul Electric Guitar, EbonyHello again. I have written a review on this guitar just after I purchased it and now it's been over a year and I still stand by my positive review. I own about 8 guitars now and this guitar is one of two of my favorites. My other favorite is a Dean electric 12 string.  When I hold and play this Epiphone Les Paul special 2 guitar it feels and sounds like something I could take on stage but it doesn't have the cost associated with a Gibson. What's also amazing is that it's still around a $150. It's well worth the noney. It stays in tune and it high quality. Well worth the money. I just purchased an electric/acoustic Epiphone ukelele today for my Chiropractor. I will review that later. If you are looking for a Les Paul guitar this is not one. Not his typical style although Amazon does sell one for about $250 so don't let the name fool you. It's still a very nice guitar though. Very solid construction and a beautiful polished ebony finish and tuners. I highly recommend this guitar. Buy it!  Thank you.",1.0,"Well-made, plays well.",1370908800,"06 11, 2013"
A1OV2BH2S11KBA,B0002DV7U2,jsnchmpn,"[1, 2]","...for something, but not a guitar.  Wasn't sure what to do with it so I now use it to mount a large cookbook, or notepad computer, so I can follow a recipe.  It seems to work okay for that.  Just don't use this for guitars.  An electric guitar will slide out and fall because it leans back too far, and the arms have no grip.  This thing was obviously created by a monkey in some closed door creative testing experimental project.  It may even give you AIDS!  But probably not.  However, animals could have been harmed in the making.  But most likely, and in reality, it will not hold your guitar in a safe manner.",0.0,Great Mount!,1389225600,"01 9, 2014"
A2H629SI5VJGRM,B0009RLE5Y,"Robert Mitchell ""Rob Mitchell""","[0, 0]",This mini telescoping boom is the bomb! It is built very well with long lasting parts. It looks very professional and works without any problems. It fit perfect on my new Hercules mic stand and was ready to go. It holds your condenser mic very solid for a worry-free session. Especially if you have an expensive heavy mic you want to protect without any question of durability. I'd say it it worth every penny if you prefer quality equipment in your studio. This one is definitely a hit!,1.0,On Stage And Loving It!,1310947200,"07 18, 2011"
AVP5CCREISHVX,B003AYEAHC,Raul Diaz Pea,"[0, 3]","I was very excited to try this pedal when it finally arrived. Just to find out it WASN'T WORKING!!! it is defective, and because i brought it to Mexico, now i can't get a refund or a replacement.I will try to fix it through some local electrician or something. Very dissapointing!",0.0,It was defective. Doesn't work when first trying it.,1388707200,"01 3, 2014"
AKGWRO6IC0VIE,B0002ZO3LK,Vivid,"[3, 3]","OK, it was cheap (nine bucks at the time), the design looked good and sensible, and it seemed a perfect solution to a real need. I bought it without hesitation. HOWEVER(!), once hooked up, I was very surprised how flimsy it is. I have a 13"" gooseneck, a light condenser mic and small shock-mount on it. At the slightest movement of the mic stand this attachment flaps up and down like crazy and will continue this way for a something like a minute if not stopped by hand. Obviously, any small bump into the stand will once again set this off. Using it at home, I've gotten away with not touching the stand while recording by being very careful, but obviously this unit is far from ideal. Since then, I've gotten another sidemount boom from this same brand, and though I haven't really put through its paces yet, this other unit is rock solid and far more adjustable and reliable, AND only costs a few bucks more (On Stage MSA9508 Posi-Lok Sidemount Boom). For anyone considering this product, I HIGHLY recommend bypassing this one and forking out just a few more bucks for the On Stage MSA9508 Posi-Lok Sidemount Boom. You will be far far happier.Cheers!",0.0,"Good Idea, Really Bad Execution - better unit for a few $'s more",1349395200,"10 5, 2012"
A10ZSXTQA264C7,B003KQY8DQ,Bubb Rubb,"[0, 0]","Too thick, no flexibility. Sounds really harsh and like it is ruining my ukulele strings. Tried on bass too, again with less than satisactory results.",0.0,These are just awful,1396828800,"04 7, 2014"
A2BB6IKKR4G40J,B003FO6E6M,Anthony,"[0, 1]","Sounded good. Warmer sounding than stock tubes in my ac15. I rocked all night and loved the sound. Next day i turned it on, my amp was crackling out and wiping out the signal i checked the tubes and one of them was making violent purple flashes before the signal burnt out. I then noticed that one of my fuses blew out as well. I changed out the fuse and checked again and the tube was still doing the same thing so i just swapped the tubes back for atock. Id like to see a real set of jjs, im sure one of them was a dud.",0.0,Good. But then...,1399766400,"05 11, 2014"
AHF7SNSZPRNCE,B0002GMGYA,Isaac,"[0, 0]","Second one I bought. Lousy build quality and only lasted 3 months. Went through two of these before I learned my lesson. Don't waste your money on this junk. I love Planet Waves stuff normally, but these are junk.",0.0,Cheap piece of crap.,1399507200,"05 8, 2014"
A136IQFGB01KQB,B0002KZIVY,Stinky K.,"[1, 2]","Unless you guys are receiving something I am not, how can you give this anything more than one star. My backplate is so thin and cut so close to the screws that you can actually see were the route begins on the back of my Fender stratocaster. This is inexcusable. All the other Fender backplates I have have enough lip to cover the route, but not this mint green one. I simply cannot understand what Fender is thinking.  I am seeing nothing but product after product like this coming from Fender and it is a clear sign they are simply trying to maximize profits at any cost.",0.0,The Slide of Fender continues,1389398400,"01 11, 2014"
AKP6IWJ24C1A5,B000XXBHA6,,"[0, 0]","I have no idea what happened or if anyone else had this problem, but I got literally 8 plug-ins, and not the part where you can plug in an existing cable to make this into a chain. It's like I got an extension cord and male outlets on both ends. Soooo it's pretty much useless to me. I guess if you get one of those power blocks with 9v outlets on them, I guess you could plug this into it but I really see no point. I would've shipped it back I lost the packaging and just wrote it off as loss. I think I payed like $8 for it so whatever. I would recommend going to an actual music store so you can physically see both the male ends and the female end.",0.0,Item was NOT like it was described. Be careful!!,1405209600,"07 13, 2014"
