reviewerID,asin,reviewerName,helpful,customer_review,customer_rating,customer_review_summary,unixReviewTime,reviewTime
A27H0T39U3FZB5,B00IZCSW3M,"P. MSakamoto ""boy clothes""","[0, 0]","These have a nice bright sound and are easy on the fingers with a light action. Pretty deluxe strings for the price here on Amazon. I have them on my travel acoustic six string (Martin) and am happy, especially since I am not a &#34;pro&#34; guitarist and my fingers can get sore.I say, get 'em!",1,Nice bright sound with easy action,1403049600,"06 18, 2014"
A1NPG8GYIXYIVY,B000M23OQ8,David Y.,"[0, 0]",Very versatile tuner. It automatically tunes to the string so you just pick and tune away! It also shows you chords in case you have forgotten them. There are other things you can do on this tuner and for the price it is a great buy!,1,Great tuner!,1388016000,"12 26, 2013"
A3A4UKJUP34E18,B0002F7IN0,Truthinadvertising,"[0, 0]","On Stage makes some very nice products.  This music stand has all the adjustments as one of our favorite older units.  Well made and the price doesn't put it out of range for the everyday musician.  Really am liking On Stage products, also bought 2 of their boom mic stands and they are excellent.",1,Very nice adjustable music stand for the price,1307664000,"06 10, 2011"
A3VINMY1DIEHL7,B0033P1O6S,JOHN,"[1, 3]","I PURCHESED THIS BANJO FOR MY PERSONAL HOBY AND IT TURNED OUT TO BE A BEAUTIFUL INSTRAMENT THE QUALITY IS GREAT AND THE Playability IS GREAT ALSO, I AM A GUITAR PLAYER FOR OVER 35 YEARS AND I KNOW QUALITY WHEN I SEE IT. FOR THE MONEY YOU CAN'T BEAT THE PRICE I WOULD RECOMEND THIS BANGJO FOR BEGINNERS, OR JUST ONY ONE WHO PLAYS JOHN R",1,PLAYER IF MANNY STRINGED INSTAMENTS NOT PROFESIONAL,1347667200,"09 15, 2012"
A37WW789WSY81F,B00AHEWBM4,Orcatrino,"[1, 1]",I had my doubts about the effectiveness of the blend knob but it is very effective indeed!  This compressor gives just the right amount of softness to the attack.  It never sounds &#34;thumpy&#34; or unnatural - but always musical.  I really think that this is what a guitar compressor is supposed to sound like.,1,This is THE compressor in my opinion!,1370822400,"06 10, 2013"
A3R6V43G6HAJ0Y,B00BL6JDUA,"Bob. Oh, Bob.","[0, 0]","Terrific way to tray out various picks without committing to a whole pack of something you might not end up liking.  And high praise for GO-DPS Music.  These guys had the product out the door the same day I ordered it, sent some great sale information on other gear, and included a catalog explaining the specs of all the picks I'd ordered.  I only spent 1.99 and I really felt like they went out of their way to earn more of my business - which they did!",1,Great!,1375747200,"08 6, 2013"
ALUTHT4U058KZ,B000Q87DAQ,M. M. Jackson,"[47, 47]","I bought this and a Hohner Special 20 key of C harp to test them both out. This harp is a great harp, pretty much the exact same as the Hohner Special 20 in overall quality. ""Feels"" a little more airtight, brighter and louder than the hohner, but in side-by-side testing the effect is diminished.The Hohner Special 20 just seems to have this little extra...expression to it. More life or something.Both harps very bendable, etc. Real high quality.As for the replaceable reed plates...Amazon has this harp marked down to about the $25 level. Reed plate replacements are about $19. Now I realize that at retail that's half the price of a RETAIL harp, but only $6 less than a ""whole new harp"" otherwise.With this in mind, I would generally recommend beginners start with the Hohner Special 20. Just a slightly better or at least more fun-sounding and fun to play harp with a little more animation and expression available ""free"", in my opinion.",0,Excellent - but not quite a Hohner,1242864000,"05 21, 2009"
A15RRJL2HT44J4,B0002E2XCW,Joe Morris,"[0, 0]","I used to play with celluloid picks back in the 70's before they came out with Delrin. I like the sound and feel of these picks. They add a nice round sound that works well with jazz, and funk. They are a little expensive, but I think they are worth it if you need the sound and feel of the real thing.I bought the abalone ones because they look cool...***UPDATE***I am still using these picks but they tend to break along the colored lines, and usually during a performance. I have since gone back to Delrin and Nylon.",1,A bit of nostalgia...,1364860800,"04 2, 2013"
AS421KUEDNJ5V,B0002D0HY4,Jinx Lee,"[0, 0]",This mic is great! I have one I have used from coast to coast to coast to coast. Unbeatable in price and quality. You can't go wrong with a brand name like shure. I have had mine for 14 years and it still sounds like it just came out of the box. You will have no shame in your game with this in in your arsenal. As a veteran bluseman I recommend it. It rocks! As clean as a marsh 'possum.,1,Clean As A Marsh 'Possum!,1366848000,"04 25, 2013"
A3SS4Y0BDSPDB0,B0007SL86A,Landon Cunningham,"[1, 1]",I swear by these quick release clips. I can't imagine working without them. I save so much time each time I use a quick release clip instead of unscrewing and re-screwing the original clips. These are a great way to to mix and match multiple clips with multiple stands. The first items I purchased when I started my last job as an Audio Engineer was these. I've got no complaints. They work great every time.,1,I'll Always Use These,1380672000,"10 2, 2013"
