reviewerID,asin,reviewerName,helpful,customer_review,customer_rating,customer_review_summary,unixReviewTime,reviewTime
A2YTKPGZXFFKVK,B004Z8VQ2O,Janeelizabeth,"[0, 0]",I use this adapter to connect my electric guitar and my acoustic guitar to my computer and IT WORKS PERFECTLY!!! Very minimal buzz... LLLOVE IT!!!,5.0,PERFECT!!!!!!!!!!,1365206400,"04 6, 2013"
A2IFKMKKXV8AVU,B0002GX5NG,"Dan Dreifort ""REVIEW-BOT-9000""","[0, 0]","So stiff. Nothing short of a five pound weight will cause this extension to buckle. If you sing and use effects pedals for an instrument, and can't rely on a good boom microphone stand being at every venue, get one of these and throw it in with your gear.",5.0,Stiffest Gooseneck I've Found,1363046400,"03 12, 2013"
A3EXWV8FNSSFL6,B00AQBT3EW,Daniel G. Lebryk,"[0, 0]","The D'Addario Balanced Tension strings are a good value, and worth slightly higher price. These are excellent strings, the type that a gigging musician would likely use on their guitar. They are inexpensive and sound great. For somebody that is a casual home musician, coated strings might be a better choice. The difference, somebody that plays a two or three hours every day, will wear out a set of strings long before corrosion sets in. Somebody that plays an hour or two twice a week will likely never wear out their strings and corrosion becomes the bigger problem.The big question for me, is the Balanced Tension worth a little extra money? It seems like yes they are. The strings are slightly easier to bend and feel just a little bit better. There isn't a huge difference. The direct comparison string is D'Addario EXL110, (D'Addario EXL110 Nickel Wound Electric Guitar Strings, Regular Light, 10-46), at roughly $3.50 a set, these are good solid strings at a bargain price. The EXL110BT strings are about $5.00 a set. If I were going through a set of strings every few days, the EXL110's would probably be a better idea. But if a set is going to last a week or two, the savings overall is pretty small, I would use the EXL110BT's.My personal preference is coated strings, I like Elixir strings a lot. The new D'Addario coated strings are fine, but they end up being about the same price as Elixir. I'll stick with what I know well.My 1981 Lucille did love these strings. They worked out just fine.On the packaging, I don't like what D'Addario has done. All the strings are in a single plastic package, I prefer individual paper envelopes. They loop two strings together and I hate that. When I'm stringing my guitar I like to work with one string at a time, and this silly double loop makes me leave one string opened up on the bench. Sometimes the strings get crossed over when unlooping them and it makes me mess with the strings for a while. They are trying to save packaging, and that is a good thing. But seriously, that little paper wouldn't kill anybody. I also don't care for the color coded rings on the strings. Lucille has an open bridge where I can see those electric colors. It is a small thing, but I don't like it. I prefer that the rings all be brass, one color. Yeah, I'm the only one that sees that problem. If I work one string at a time from an individual envelope, the color coding is not necessary.These are fine strings. They are a great price and provide a little bit easier bend.",5.0,Nice Strings - Great Price,1368316800,"05 12, 2013"
ABBE2DL4IFLM5,B0002E5518,"Andrew D. Flint ""Andrew D Flint""","[0, 0]",I bought this when I was doing sound for a party where we had acoustic musicians that wanted to be mic'd.  It really came in handy to mic a guitar and a mandolin..  I will be buying more of these!,5.0,Very handy,1402617600,"06 13, 2014"
A46D3MTB5LIUY,B0002GLCRC,Ocean Blue,"[0, 0]","I just finished installing 12 of these and couldn't be any happier with the product.  It is a sturdily built product with EVERYTHING you need for installation.  I didn't think this was possible, but I actually found a product MADE IN THE USA !!!  I will definitely buy more of these as my guitar collection grows.I did NOT have the mis-matching color issue that others commented on - all I did was contact the seller (in my case Brook Mays Music) and ask if it was at all possible for them to closely match these since all 12 are going on the same wall.  They were extrememly responsive, even sending two emails concerning my request (basically saying they would do their best - but no promises).  Well, Brook Mays came through for me & I received (very quickly I might add) 12 of these that matched perfectly !!!  I will definitely go out of my way to use this seller again.Another great experience purchasing items through the Amazon site !!!",5.0,Outstanding Product !!!  (See Uploaded Pic on Product Page),1299542400,"03 8, 2011"
A1BTNPMESS99PL,B0002F7K7Y,Nunya Biz,"[0, 0]","I replaced the factory strings on myDean Playmate Avalanche Junior Solid Body Electric Guitar, Metallic Silver, 3/4 Sizeand what a difference in sound.  These strings seriously rock.  I also use D'Addario strings on my ukulele and I've had great luck with those. They withstand a lot of play and I don't have to replace them often. The best part is, the sound is so much brighter and louder.  Definitely recommended.",4.0,The sweet sound of music...,1336262400,"05 6, 2012"
A24IO6G3W158E4,B0002IHFVM,Brynn,"[0, 0]","I only recently started playing the guitar, and as a beginner, I wanted to get a less expensive strap to go with my less expensive guitar.This one came at a great price and it's sturdy enough for me, so I think this is very decent strap for the price I paid for it.  It's quite comfortable to wear and adjusts very easily.",5.0,Nice Strap,1355961600,"12 20, 2012"
A3M4FU3WQWJHMP,B0002D0E8S,Joehorse,"[0, 0]",A very attractive and well constructed strap. I've been somewhat disappointed with some of the more expensive straps but this one is Excellent...................AND NOT SO EXPENSIVE. All the Buttons fit well (Snug) and it adjusts easily and quickly.,5.0,Just what I was looking for.,1390780800,"01 27, 2014"
AXX6BZDD8K4JL,B0002CZR3G,Eric,"[1, 1]","Hey, it gets the job done and that's all I can ask for.  I tried several ""cheapo"" pedals, and this one was my favorite of them all.  While some had better casings (metal instead of plastic), at the end of the day I'm looking for a good sound, not a pretty pedal board.  The pedal seems solid enough, it doesn't take up much space, it sounds great, and it has a versatile range of sounds as far as tremolo pedals come.AND, if you are like the typical musician, you are looking for something that's not going to break the bank.",4.0,Gets the job done!,1350345600,"10 16, 2012"
A37A41GWQFMK3D,B0006NDF6C,Dr. Freud,"[0, 0]","i needed a simple music stand to hold my music and notes when practicing in my room.  this does the trick just fine.  it is light, sort of cheap, etc., but it does what it needs to and it did not cost me an arm and a leg.  I wouldnt recommend using it for concert or stage performances but for at home, practicing, it is just fine.",5.0,inexpensive and does the trick,1344556800,"08 10, 2012"
