id,brand,manufacturer,name,customer_rating,customer_review,review_title
AV1T09fyvKc47QAVgf2R,Amazon,,Amazon Fire TV Game Controller,0.0,"This is a great controller for our Fire TV, I purchased 2 of them, with two problems but let me first talk about the good. The controller works well for most of the games we play on the Fire TV. It has a long range compared to other controllers Ive tried (solid at 30 feet) and uses WiFi Direct instead of Bluetooth. The feel of it is decent (not too rubbery) and none of the buttons, D-Pad, or sticks have stuck or given us a problem. The microphone on it works as good or better than the one on the Fire TV remote.Now on to the problems. Its such an issue that Im not just putting it in the cons section but am going to tell you a bit about it. The worst problem is the battery life! In fact, its such a huge problem that Im taking off 2 stars because of it. This controller eats batteries like nobodys business. I have tried regular AA batteries (both Duracell and Energizer), expensive AA batteries (both Duracell and Energizer), and rechargeable AA batteries (Ive tried Energizer, Apple, AmazonBasics). The controller doesnt drain the batteries completely, nope. That I would understand. Instead, the controller stops working after only a 40 drain. I kid you not. Every set of batteries I have put into this thing has stopped working when there is still 60 battery life left. I have tested each set, before and after, using a generic battery tester as well as an ohm meter.The second problem may not be the controller itself, it may be the Fire TV, but its affecting the controller. The controller randomly disconnects. Not often enough for it to be a huge issue but just enough for it to be annoying. I have seen reports of others having the same problem with the controller and the remote. Im hoping that this issue will be fixed with a firmware update.Read more",Great controller with 2 major problems! Not recommended at this point in time...
AVzRkFTFvKc47QAVd43-,Amazon,,All-New Amazon Fire HD 8 Tablet Case (7th Generation,0.0,"In this day and age of rectangles with screens being covered in various ways, its perplexing that you can mess up something as basic as this. It covers the Fire fine. The fit is snug and snaps into place no problem. A hidden magnet auto-wakes/sleeps the display when you open/close it. The fabric collects cat hair like a pair of cheap black pants. Yet worst of all is the fold on the back does an awful job of propping up fire when you want to use it hands free. You can get it to stay, but it often slides out, or just puts the fire at a slightly weird angle. Whether it's in portrait or landscape orientation, the stand on the back is so wonky, that you're better off just using a jar of peanut butter and a couple pieces of chewing gum to get it to stay in place.",Just Bad
AV1T19jOglJLPUi8H8Y9,Amazon,,Certified Refurbished Kindle Paperwhite E-reader - Black,1.0,"Let me guess: you love books, but you're not sure you want to get a kindle because you love the feel of books, rightI'm here to tell you that the kindle is the perfect balance of book and digital format.SHORT REVIEWYes, you should buy a kindle. Get the paperwhite with no ads. You're welcome.LONG REVIEWI love physical books too, I'm with you. But I know myself, and I know that once I forget to take the book I'm reading with me, that's it. I'll start another book and rarely finish the first. I also know if I try and read on my phone or iPad that I'll get distracted and start wondering about what's happening on the internet (Instagram's not gonna scroll ITSELF). Either way I'm not finishing the book.WHY KINDLEThe kindle takes the best of both worlds and mashes them together. The e ink display is honestly incredible. I wish iPhones had an e ink display. It really looks just like a printed page. So you get the experience of reading a physical paper book, but with the perks of being digital.Namely:- Share what book you're reading to Goodreads, Facebook, or twitter (so you can look SMORT)- Built in dictionary (so you can learn the proper spelling of the word SMORT)- Export your highlights as a PDFPlus, it'll also sync with the kindle app on your phone so you can squeeze in the final few pages of the chapter while you're in the bathroom (don't pretend you don't do that. You're either on your phone or you're reading the febreeze ingredients)READING IN BEDThe backlight looks great. It's a perfect size.Read more",Honest Kindle Review
AVpfODXeilAPnD_xXeUd,Amazon,,Replacement Remote for Amazon Fire TV Stick,1.0,"Works great! Originally it had a delivery date of June-July, but it was updated and delivered within a week. Don't let the usually ship within 1 to 4 months stop you from getting it! Definitely easier than connecting my phone each time!",Works great! Originally it had a delivery date of June-July
AVpfo9ukilAPnD_xfhuj,Amazon,,Alexa Voice Remote for Amazon Fire TV and Fire TV Stick,0.0,"Voice remote gave out nearly a year after I purchased. changed batteries several times and nothing. Have to rely on Phone App for it to function. Paid 19 for the stick when it was being promoted to Prime members. Now they want 30 , for an extra 10 might as well buy another Fire Stick, what a rip off for a hollow piece of plastic. Even with the Voice Remote feature, I still don't think it is worth it. Amazon should sell the remote for 10-15 dollars for Prime Members, we shouldn't have to worry if it fails outside of the warranty period. Amazon is already charging an arm and a leg for Prime Membership and its content to begin with.","OEM Remote gave out after 12 months, considering replacement"
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,1.0,It helps the kids with questions it plays any music you like .,Great for entire family
AVzRkFTFvKc47QAVd43-,Amazon,,All-New Amazon Fire HD 8 Tablet Case (7th Generation,1.0,"This is an improvement over the Origami case we purchased for my husband's old 2013 Fire 7. He liked the case but the way it would collapse into several sections when trying to close was frustrating for me. This one has only 2 sections, so the folding issue is very minimal and it stands up well in both landscape and portrait as long as the tablet is in the correct orientation. (Just give the tablet a 180 if you can't get it to stand.) I don't usually like blue, but the marine blue of this cover and the tablet is gorgeous and they match perfectly. There is a nice texture to it that helps immensely with the grip as well as being very attractive. The cutouts are precise and allow for charging without removing the cover. I often have difficulty with close fitting hard plastic cases, but I had no trouble removing this one when I needed to. The only downside is that it does pick up a bit of lint at times. Overall, a very nice, classic case.",Very complimentary to the new Fire HD 8
AV1T09XZ-jtxr-f31CoT,Amazon,,Amazon Tap Sling Cover - Blue,1.0,"Ok first things first, I also own a Echo and if you own a Echo you will love the Tap.Now you will see a lot of reviews around the internet of people saying they wish the Tap was voice enabled like the Echo. I happen to think those people are not completely thinking things through. Because the Echo is not meant to be a mobile device. It generally sits somewhere in your house and the voice command is then a great feature to have. But the Tap is meant to be mobile, and therefore I am happy it's not a Voice command device. I would not want to be at the beach or on a subway or at the coffee shop and having this thing think the world is taking to it. So I actually think not having a voice command is a well thought out feature. I have the Echo on my kitchen counter and the Tap in my Studio office. And when I leave my office I just grab it and go.I bought this on sale for 89 and I went to the store and listened to many Bluetooth speakers. And while yes the charge 3 sounds better, all the charge 3 can do is be a Bluetooth speaker. While the Tap is so much more for less . And the Tap sounds Great. After looking online I was a little nervous that it would not sound that great, but I was 100 wrong about that. There is no other product out there for 89 that sounds this good and can do what the Tap does.I was not paid or given a Tap to write this review. I'm just a consumer who was it the market for a Bluetooth speaker, and I could not be happier with my choice.Also if you buy this device buy the Amazon sling as well. Trust me you will want it. And honestly I am again happy I got the one that covers the bottom of the Tap. Because if this was sitting on a table and someone knocked over a drink I would not want the bottom where the charging rings are to be exposed.That's it, that's all. Buy it, you won't be disappointed!!!!!",I also own a Echo and if you own a Echo you will love the Tap
AVzRloqLGV-KLJ3aavBd,Amazon,,All-New Amazon Fire 7 Tablet Case (7th Generation,0.0,"This works as a case, and matches the color of the kindle nicely. The main feature I wanted was the stand, however. It is only one corner flap, as pictured. I incorrectly assumed there might be slightly more technology involved. There is no stop or anything to keep it from going completely flat backward. Starting out, my kindle would sit at a nice 70 degree or so angle from the table, but now my kindle will sit at maybe 30 degrees off the table. Eventually it will just go flat. I've had it for maybe 3 weeks. If the stand feature is important to you, get a different case.",Stand wears out quickly One person found this helpful. Was this review helpful to you Yes No
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0.0,"I'm thinking this must of been a fluke, it never worked. Had to return item but received full refund",It never worked
