reviewer_id,store_location,latitude,longitude,date,month,year,title,review,review-label
114649.0,US,37.09024,-95.712891,2022,2,2011 00:00:00,Love the magnets,"Love the magnets! They are thin but strong, and I like the design. I am very happy with my purchase.",5
29288.0,US,37.09024,-95.712891,2022,12,2030 00:00:00,The process was simple and easy,"The process was simple and easy, shipping was appropriate as it was the holiday. The shirt was as described. Thank you!",5
70483.0,US,37.09024,-95.712891,2022,8,2017 00:00:00,Account banned for no reason,I had my account banned for no good reason at all.The design I made was no more copyright infringement than any of the other artists making fan art.,1
7180.0,US,37.09024,-95.712891,2023,5,2021 00:00:00,Excellent customer service,Excellent customer service. Quick and easy exchange. Very happy with the shirts and giddies I ordered!,5
155554.0,US,37.09024,-95.712891,2021,4,2026 00:00:00,The shirts were awesome,The shirts were awesome! My sisters love the funny pictures and retro styles.,5
234398.0,US,37.09024,-95.712891,2019,11,2022 00:00:00,Came on time and was exactly what Iï¿½ï¿½ï¿½,Came on time and was exactly what I ordered,5
24101.0,US,37.09024,-95.712891,2023,1,2007 00:00:00,Lost packages and undersized shirts,First my order was delivered to another state and when I finally received the second package the shirts run way small to size. Beyond disappointing.I won't use this site again.,2
245814.0,US,37.09024,-95.712891,2019,8,2005 00:00:00,iPhone 6 Sailor Moon case,"My order came very quickly. My daughter loves the iPhone 6 case with the sailor moon artwork on it. I purchased the upgraded case, the tough one. It seems to be made very well. The artwork was phenomenal. Thanks for a great purchase.",5
140798.0,US,37.09024,-95.712891,2021,9,2017 00:00:00,Great t-shirts!,The t-shirts are thick and soft and really cute.The ordering was easy and shipping was quick.,5
206449.0,US,37.09024,-95.712891,2020,5,2026 00:00:00,Late gift,Just due to the pandemic the product was received late.The shirt looked nice but I have yet to receive the pillow. They were graduation gifts.,3
236801.0,US,37.09024,-95.712891,2019,11,2007 00:00:00,Terrific Experience,T-shirt was exactly as shown.Image was clear and the T-shirt was well-made and in the ordered color.Liked it so much I ordered another as a gift!,5
51081.0,US,37.09024,-95.712891,2022,9,2020 00:00:00,Love the shirt!!,,5
241072.0,US,37.09024,-95.712891,2019,9,2026 00:00:00,The tea shirt I ordered,The tea shirt I ordered was of well quality. The printing on it was done well also. I would order again from this company,5
188415.0,US,37.09024,-95.712891,2020,9,2025 00:00:00,Cheap light weight t-shirt,,3
58772.0,US,37.09024,-95.712891,2022,10,2006 00:00:00,Took a little longer but was exactlyï¿½ï¿½ï¿½,Took a little longer but was exactly what I wanted ! Great tee!,5
70082.0,US,37.09024,-95.712891,2022,8,2019 00:00:00,Ordered a T-shirt and it was perfect,Ordered a T-shirt and it was perfect! Also really quick shipping and accurate sizing.,5
175237.0,US,37.09024,-95.712891,2020,12,2021 00:00:00,Great!!,It was an excellent design and my nephew will absolutely love it!!,5
211894.0,US,37.09024,-95.712891,2020,4,2006 00:00:00,Never ordered clothes online before,"Never ordered clothes online before. I must say with these guys I was pleasantly suprised. My shirts arrived relatively quickly despite all that is going on, but most importantly,I LOVE THEM! Havent had to return one yet. In fact thinking of ordering more. Just wish getting pants was as easy.",5
175893.0,US,37.09024,-95.712891,2020,12,2019 00:00:00,Good quality quick delivery,,5
224729.0,US,37.09024,-95.712891,2020,1,2003 00:00:00,My Grandson loved the sweatshirt,"My Grandson loved the sweatshirt, he is a lover of all things that fly and I will definitely be using this site again.",5
12208.0,US,37.09024,-95.712891,2023,4,2023 00:00:00,My brother loved the shirt,"My brother loved the shirt, would order more in the near future but shipping was a bit slow",5
87872.0,US,37.09024,-95.712891,2022,6,2002 00:00:00,Thanks,Thanks love the shirts and they arrived fast,5
266399.0,US,37.09024,-95.712891,2018,12,2014 00:00:00,The shirts are fine,"The shirts are fine, but they smell like rancid Elmerï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s glue. Iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½m trying to figure out how to get the smell out wit",1
126680.0,CA,56.130366,-106.346771,2021,12,2017 00:00:00,Great quality tees,"Great quality tees, exactly as seen, and arrived quickly.",5
67042.0,US,37.09024,-95.712891,2022,9,2001 00:00:00,Awful communication,"I've been requesting a refund on one item and a sizing change for another for 4 days and have only received one email back asking me for photos of the items. That was yesterday morning and nothing since then, despite my responding immediately with everything I was asked for and then following up again this morning. I'd like a full refund on both items at this point.",1
10512.0,CA,56.130366,-106.346771,2023,4,2028 00:00:00,I ordered 6 coasters with the Oï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,I ordered 6 coasters with the Oï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½Leary crescent and instead I recited 6 small pin badges which ,1
254285.0,US,37.09024,-95.712891,2019,4,2030 00:00:00,I am delighted!!,Shirts were as ordered and looked absolutely great. Couldn't be happier with these dandy Disney adds to my wardrobe,5
162141.0,US,37.09024,-95.712891,2021,1,2028 00:00:00,Love the diversity,Love the diversity.Keep up the ideas!,5
84345.0,US,37.09024,-95.712891,2022,6,2017 00:00:00,improvements to their service,"Shipping was fast and the shirt was well-made. I had a less-than-stellar experience with the same company a few years ago, so I was happy to find that they've improved their service.",5
3983.0,US,37.09024,-95.712891,2023,6,2007 00:00:00,Excellent service,Excellent service Love the quality of the shirts. Keeps it shape and stays soft.,5
27627.0,CA,56.130366,-106.346771,2022,12,2028 00:00:00,I had some issues with the 2 of theï¿½ï¿½ï¿½,"I had some issues with the 2 of the pieced of this krder, but it was easy to connect with customer service, they responded quickly, and sent over a new one very quickly.",5
241460.0,US,37.09024,-95.712891,2019,9,2021 00:00:00,Love it very good,,5
265996.0,US,37.09024,-95.712891,2018,12,2016 00:00:00,Great t-shirts and fast delivery,Great t-shirts and fast delivery.Will buy from TeePublic again!,5
145341.0,US,37.09024,-95.712891,2021,8,2015 00:00:00,My order came in a timely manner andï¿½ï¿½ï¿½,My order came in a timely manner and was very satisfied with the product,5
52291.0,US,37.09024,-95.712891,2022,11,2004 00:00:00,The first top was a little snug for xlï¿½ï¿½ï¿½,The first top was a little snug for xl so I was sent a XXL and it fits fine thank you,5
87339.0,US,37.09024,-95.712891,2022,6,2004 00:00:00,The designs on these shirts are amazingï¿½ï¿½ï¿½,The designs on these shirts are amazing and the categories are very extensiveI will defiantly buy from here again,5
204323.0,US,37.09024,-95.712891,2020,6,2013 00:00:00,Great artwork and high quality products.,"Easy ordering, easy shipping and GREAT products!!!",5
263548.0,US,37.09024,-95.712891,2019,1,2002 00:00:00,"Awful Service, Warped Products","Products themselves aren't too bad. Service is awful. I reached out a week after I ordered since I'd heard nothing since, no response. Over two weeks after the expected delivery date the package finally arrived, only then did they contact me back telling me that may package had been delivered. Likely won't ever be buying anything from TeePublic again.Update: The sweatshirt was warped, arms were extremely baggy and the torso was very tight. The image was also pretty blurry and faded. Extremely frustrated.",1
161666.0,US,37.09024,-95.712891,2021,1,2030 00:00:00,i love it <3,good quality and an amazing design :)),5
92086.0,US,37.09024,-95.712891,2022,5,2016 00:00:00,Thanks for standing behind your products!!,"I am happy to see you stand behind your product. When I had an issue with my shirt, you immediately replaced it, with no questions asked. My only caveat would be that I never received an email that this was happening. It didn't really matter since it happened so quickly anyway. Thanks!",5
88867.0,US,37.09024,-95.712891,2022,5,2029 00:00:00,My favorite Tee store,My favorite Tee store!They have a wide variety stylesand very comfortable shirts what more can you ask for shop@TeePublic!,5
268551.0,US,37.09024,-95.712891,2018,12,2005 00:00:00,Pleased overall and will most likely beï¿½ï¿½ï¿½,Pleased overall and will most likely be ordering again.,5
22167.0,JP,36.204824,138.252924,2023,2,2025 00:00:00,Quick and helpful,"Quick and helpful, very hassle-free customer service experience.",5
146078.0,US,37.09024,-95.712891,2021,8,2008 00:00:00,I ordered a shirt for my wife,I ordered a shirt for my wife. The sizes seem to run small or they are junior sizes.,3
4183.0,US,37.09024,-95.712891,2023,6,2006 00:00:00,Thank you,Thankyou ! Love me my Banksy !!!,5
182740.0,GB,54.7877149,-6.4923145,2020,11,2017 00:00:00,Excellent customer support,"I ordered a wrong merchandize, but the customer support via email as well as live chat (I contacted both in panic) offered prompt and very friendly support. My revised order arrived quickly on time as well.",5
130262.0,US,37.09024,-95.712891,2021,12,2004 00:00:00,I made a mistake in size,I made a mistake in size. The exchange process was so easy!,5
127324.0,US,37.09024,-95.712891,2021,12,2015 00:00:00,Long wait,The product was just as I wished.It took 35 days to get to me.,3
39254.0,US,37.09024,-95.712891,2022,12,2016 00:00:00,"Great at exchanges, great at fixing mistakes",I've had one shirt with a bad print job that was quickly replaced. And I had another that was sent with the wrong size. That was also quickly dealt with. Great customer service.,5
224856.0,US,37.09024,-95.712891,2020,1,2001 00:00:00,After 1 wash the design on the shirtï¿½ï¿½ï¿½,After 1 wash the design on the shirt started to fade.,3
139373.0,US,37.09024,-95.712891,2021,9,2026 00:00:00,Careful on size,"Quality and look are great. However, the shirts ran SMALL. I even ordered a size larger than I normally wear and the shirts were still too small.",4
174373.0,US,37.09024,-95.712891,2020,12,2022 00:00:00,Designs You Don't Get on Woot.,"The shirts I ordered were well priced and nice quality shirts. The graphics (black ink more than the color) are one are a little crisper than the other. But, still nice. Processing is slower than woot, but that's understandable since woot is owned by Amazon while this is a collection of independent shops selling shirts. I came to tee public because woot didn't have the designs for the two things I really wanted to buy. I had bought masks from them, so I knew they had nice products available. I'm very pleased with my purchases!",5
150360.0,US,37.09024,-95.712891,2021,6,2024 00:00:00,Pretty sure Red bubble/teepublic are scammers,"Bought a sticker, should've cancelled when the tracking number they gave wasn't recognized by any tracking company but I waited anyway for my sticker.. And waited... And waited... I emailed them and they told me that the tracking number was through USPS (it wasn't) I waited longer and still no sticker... Now I'm waiting on a refund.",1
120641.0,GB,54.7877149,-6.4923145,2022,1,2002 00:00:00,Rocketeer T-shirt,"I've ordered 4 tee-shirts in two orders, both parcels arrived in good time and well packaged! I was very pleased that the shirt colours are a true reflection to the pictures on the website- the printed designs are crisp and appear to last the test of washing! The quality of the shirts is good too- NOT a thin poor quality cotton.",5
68349.0,US,37.09024,-95.712891,2022,8,2027 00:00:00,I ordered some merch with a friend ofï¿½ï¿½ï¿½,I ordered some merch with a friend of mine's artwork on it. It arrived very quickly and I am happy with my purchase. Thank you TeePublic!,5
139116.0,US,37.09024,-95.712891,2021,9,2029 00:00:00,Great price and product,Great price and product. But the shipping process took a lot longer than stated. Got product after the intended day to wear,3
115411.0,US,37.09024,-95.712891,2022,2,2008 00:00:00,EXCELLENT!,EXCELLENT!!!!!!!!!!!!!!!!!!!!!!!!!!,5
21108.0,US,37.09024,-95.712891,2023,3,2002 00:00:00,Perfection,"Just as it looked in the pic, could not be more pleased!",5
48438.0,US,37.09024,-95.712891,2022,11,2023 00:00:00,It was easy for find the shirt i qasï¿½ï¿½ï¿½,It was easy for find the shirt i qas looking for. I was kept in the loop regarding my order. It was delivered as promised. The tshirt was exactly as described. VERY happy,5
185944.0,US,37.09024,-95.712891,2020,10,2014 00:00:00,Was a gift for my son,My Son liked his shirt,5
241306.0,US,37.09024,-95.712891,2019,9,2024 00:00:00,came out great!,,5
68430.0,US,37.09024,-95.712891,2022,8,2027 00:00:00,The size large was perfect and my sizeï¿½ï¿½ï¿½,The size large was perfect and my size small the words were fine but the picture size was a bit off .,4
222531.0,US,37.09024,-95.712891,2020,1,2022 00:00:00,Better than Expected,"I thought this pillow was going to be a stamped image, the quality was much better than I expected!",5
181580.0,US,37.09024,-95.712891,2020,11,2027 00:00:00,Exceeding Expectations,"Delivery was faster than I thought it would be. The shirt itself was also a lot softer, a pleasant surprise. The designs were as advertised. There was not any chipping on the artwork even after a wash. Overall, I am very satisfied.",5
249001.0,US,37.09024,-95.712891,2019,7,2003 00:00:00,Perfect!,Exceeded my expectations!,5
199381.0,US,37.09024,-95.712891,2020,7,2015 00:00:00,Shirt wrong color and delivery really slow,I got my tshirts several days after I expected.Both were supposed to be black but one is a much lighter grey.How do I match with my husband that way?I have yet to receive my masks and they are now several days late.,1
239588.0,US,37.09024,-95.712891,2019,10,2007 00:00:00,Ordered 7 shirts and I am thrilled withï¿½ï¿½ï¿½,Ordered 7 shirts and I am thrilled with all of them!!Will order again!,5
45882.0,US,37.09024,-95.712891,2022,12,2004 00:00:00,Public Tee does it right !,TeePublic uses high quality tees & the prefect is done perfect. I ordered the wrong size but TeePublic customer service exceeded in getting me the right one. Iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ll def bei,5
21465.0,US,37.09024,-95.712891,2023,3,2005 00:00:00,Love the designs,Love the designs!Very original designs.Tees are good quality!Service is quick!,5
94553.0,US,37.09024,-95.712891,2022,5,2006 00:00:00,high quaility canvas shirts..,high quaility canvas shirts... way to go!,5
99498.0,US,37.09024,-95.712891,2022,4,2015 00:00:00,This is a great site!,This is a great site!! Something for everyone!ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,5
